time,event,customers_in_system,customers_in_queue,server_busy,total_arrivals,rejected_arrivals,completed_customers
12.086291540124995,arrival_queue,2,1,1,84,0,82
12.240634779240887,departure,1,0,1,84,0,83
12.290437356629324,arrival_queue,2,1,1,85,0,83
12.357897359494045,arrival_queue,3,2,1,86,0,83
12.434679922976871,arrival_queue,4,3,1,87,0,83
12.513663244884214,arrival_queue,5,4,1,88,0,83
12.557831159221864,arrival_queue,6,5,1,89,0,83
12.564052743267894,arrival_queue,7,6,1,90,0,83
12.631829040923812,arrival_queue,8,7,1,91,0,83
12.667869458379432,departure,7,6,1,91,0,84
12.768575390337103,departure,6,5,1,91,0,85
12.9358716207798,departure,5,4,1,91,0,86
13.040324865711094,arrival_queue,6,5,1,92,0,86
13.118116930058568,departure,5,4,1,92,0,87
13.238434713409566,arrival_queue,6,5,1,93,0,87
13.278148053048254,arrival_queue,7,6,1,94,0,87
13.314122536702001,arrival_queue,8,7,1,95,0,87
13.323322755182803,departure,7,6,1,95,0,88
13.330003111994849,arrival_queue,8,7,1,96,0,88
13.345381442268431,departure,7,6,1,96,0,89
13.464708817757254,arrival_queue,8,7,1,97,0,89
13.478283169222982,arrival_queue,9,8,1,98,0,89
13.49459809761848,departure,8,7,1,98,0,90
13.564032428564028,arrival_queue,9,8,1,99,0,90
13.60671262007411,arrival_queue,10,9,1,100,0,90
13.620400674067918,arrival_queue,11,10,1,101,0,90
13.624847116623643,arrival_queue,12,11,1,102,0,90
13.694084823940647,arrival_queue,13,12,1,103,0,90
13.701803400751489,departure,12,11,1,103,0,91
13.853818057877964,departure,11,10,1,103,0,92
13.991739484513422,departure,10,9,1,103,0,93
13.99936594704037,departure,9,8,1,103,0,94
14.158961325303698,departure,8,7,1,103,0,95
14.20980828534523,departure,7,6,1,103,0,96
14.233365483023261,departure,6,5,1,103,0,97
14.272256185876664,departure,5,4,1,103,0,98
14.307579305132622,departure,4,3,1,103,0,99
14.309690463573974,arrival_queue,5,4,1,104,0,99
14.31435543416116,arrival_queue,6,5,1,105,0,99
14.316625921798806,arrival_queue,7,6,1,106,0,99
14.37202002988216,arrival_queue,8,7,1,107,0,99
14.397788973009037,departure,7,6,1,107,0,100
14.403733555787772,departure,6,5,1,107,0,101
14.502898337805357,arrival_queue,7,6,1,108,0,101
14.60819368263113,arrival_queue,8,7,1,109,0,101
14.723420860609247,departure,7,6,1,109,0,102
14.780867775083683,departure,6,5,1,109,0,103
14.994708473395841,departure,5,4,1,109,0,104
15.012199029955699,departure,4,3,1,109,0,105
15.03230077980282,arrival_queue,5,4,1,110,0,105
15.048320213176527,arrival_queue,6,5,1,111,0,105
15.05635436188582,arrival_queue,7,6,1,112,0,105
15.202196213044248,departure,6,5,1,112,0,106
15.202619415885563,arrival_queue,7,6,1,113,0,106
15.231420163372377,arrival_queue,8,7,1,114,0,106
15.328370305605834,departure,7,6,1,114,0,107
15.426208556075096,departure,6,5,1,114,0,108
15.713154321098267,departure,5,4,1,114,0,109
15.735442143633783,departure,4,3,1,114,0,110
15.754713087517795,departure,3,2,1,114,0,111
15.772691028235942,departure,2,1,1,114,0,112
15.847018896416039,arrival_queue,3,2,1,115,0,112
15.914193280911869,departure,2,1,1,115,0,113
15.974562195253725,departure,1,0,1,115,0,114
15.974763119871783,departure,0,0,0,115,0,115
16.008342094095564,arrival_service_start,1,0,1,116,0,115
16.01134571500837,departure,0,0,0,116,0,116
16.13861031388006,arrival_service_start,1,0,1,117,0,116
16.159055526945426,arrival_queue,2,1,1,118,0,116
16.192144309052043,arrival_queue,3,2,1,119,0,116
16.19647411411713,arrival_queue,4,3,1,120,0,116
16.1980731208914,arrival_queue,5,4,1,121,0,116
16.218320293806528,departure,4,3,1,121,0,117
16.261063909895157,arrival_queue,5,4,1,122,0,117
16.31615978348985,departure,4,3,1,122,0,118
16.423044427361024,arrival_queue,5,4,1,123,0,118
16.544155395463335,departure,4,3,1,123,0,119
16.630023261146057,departure,3,2,1,123,0,120
16.734062063717154,arrival_queue,4,3,1,124,0,120
16.776951992661825,departure,3,2,1,124,0,121
